lambda,em,pigment
614.0645608,11.57330941,Phycoerythrin
615.2030464,11.45871538,Phycoerythrin
616.2474958,11.58701708,Phycoerythrin
617.3864228,11.59538187,Phycoerythrin
619.3786558,11.3622944,Phycoerythrin
620.5162513,10.99971619,Phycoerythrin
622.6028506,10.6156938,Phycoerythrin
623.7427827,10.90407406,Phycoerythrin
624.8833823,11.37844245,Phycoerythrin
626.0243528,11.95613758,Phycoerythrin
627.1636173,12.05852971,Phycoerythrin
628.3017691,11.85094161,Phycoerythrin
629.4396985,11.58135747,Phycoerythrin
630.5781841,11.46676345,Phycoerythrin
631.716373,11.26950802,Phycoerythrin
632.8556375,11.37190015,Phycoerythrin
633.9943827,11.32963484,Phycoerythrin
635.037738,11.15312265,Phycoerythrin
636.2710573,11.01778539,Phycoerythrin
637.4101363,11.06851415,Phycoerythrin
638.5481769,10.82992803,Phycoerythrin
639.6858095,10.4776825,Phycoerythrin
640.8228858,9.970446859,Phycoerythrin
641.9599991,9.473543891,Phycoerythrin
643.099004,9.5036073,Phycoerythrin
644.2377492,9.46134199,Phycoerythrin
645.3761236,9.315749939,Phycoerythrin
646.0400331,9.191212659,Phycoerythrin
648.4116526,8.889618,Phycoerythrin
649.1699878,8.630678073,Phycoerythrin
651.4468107,8.36015932,Phycoerythrin
652.58474,8.090575181,Phycoerythrin
653.7217421,7.562674191,Phycoerythrin
654.8594859,7.241426682,Phycoerythrin
655.9962284,6.641196974,Phycoerythrin
657.1340836,6.350947487,Phycoerythrin
658.0833099,6.391499338,Phycoerythrin
659.4114999,6.245751519,Phycoerythrin
660.5494292,5.97616738,Phycoerythrin
661.6895467,6.31621101,Phycoerythrin
662.827884,6.160286285,Phycoerythrin
663.8706829,5.828783986,Phycoerythrin
665.2936323,5.641627586,Phycoerythrin
666.2436004,5.888832919,Phycoerythrin
667.9509395,5.608448799,Phycoerythrin
669.0876078,4.987553742,Phycoerythrin
669.7516286,4.894014485,Phycoerythrin
455.1180734,1.167257012,Phycocyanin
456.7198979,1.080830732,Phycocyanin
458.3215256,0.675563945,Phycocyanin
459.9231713,0.299282659,Phycocyanin
461.5249421,0.125899878,Phycocyanin
463.1268202,0.126430101,Phycocyanin
464.7288772,0.41681533,Phycocyanin
466.330809,0.504302054,Phycocyanin
467.9328839,0.823672784,Phycocyanin
469.5349051,1.056087012,Phycocyanin
471.1368548,1.172559237,Phycocyanin
472.7386435,1.028161957,Phycocyanin
474.3403964,0.825793675,Phycocyanin
475.9420778,0.50748339,Phycocyanin
477.5438129,0.276129607,Phycocyanin
479.1457626,0.392601832,Phycocyanin
480.7476765,0.451103056,Phycocyanin
482.3493579,0.132792772,Phycocyanin
483.9511109,-0.06957551,Phycocyanin
485.5528996,-0.213972791,Phycocyanin
487.1547777,-0.213442569,Phycocyanin
488.7567632,-0.038999342,Phycocyanin
490.3588738,0.338342389,Phycocyanin
491.9609487,0.657713119,Phycocyanin
493.5630772,1.064040351,Phycocyanin
495.1650269,1.180512576,Phycocyanin
496.766744,0.920173293,Phycocyanin
498.3685685,0.833747013,Phycocyanin
499.9706613,1.182103244,Phycocyanin
501.5726825,1.414517471,Phycocyanin
503.1746322,1.530989697,Phycocyanin
504.7763851,1.328621415,Phycocyanin
506.3780308,0.952340129,Phycocyanin
507.9796406,0.518087841,Phycocyanin
509.5815009,0.489632563,Phycocyanin
511.1834148,0.548133787,Phycocyanin
512.7855791,1.01243202,Phycocyanin
514.387654,1.33180275,Phycocyanin
515.9896573,1.535231477,Phycocyanin
517.5916785,1.767645705,Phycocyanin
519.1936282,1.88411793,Phycocyanin
520.7955242,1.913633654,Phycocyanin
522.3973845,1.885178375,Phycocyanin
523.9992626,1.885708598,Phycocyanin
525.6011407,1.886238821,Phycocyanin
527.2030189,1.886769043,Phycocyanin
528.804897,1.887299266,Phycocyanin
530.4067752,1.887829488,Phycocyanin
532.0086533,1.888359711,Phycocyanin
533.6105493,1.917875434,Phycocyanin
535.2127315,2.411159168,Phycocyanin
536.8146096,2.41168939,Phycocyanin
538.4164878,2.412219613,Phycocyanin
540.0183659,2.412749836,Phycocyanin
541.620244,2.413280058,Phycocyanin
543.2221222,2.413810281,Phycocyanin
544.8240003,2.414340503,Phycocyanin
546.4258785,2.414870726,Phycocyanin
548.0275956,2.154531443,Phycocyanin
549.6292949,1.865206659,Phycocyanin
551.2309763,1.546896374,Phycocyanin
552.832926,1.663368599,Phycocyanin
554.4349472,1.895782827,Phycocyanin
556.0366644,1.635443544,Phycocyanin
557.6383458,1.317133259,Phycocyanin
559.2401524,1.201721479,Phycocyanin
560.8420306,1.202251701,Phycocyanin
562.4438551,1.115825422,Phycocyanin
564.0455186,0.768529637,Phycocyanin
565.6471642,0.392248351,Phycocyanin
567.2488993,0.160894568,Phycocyanin
568.8507774,0.161424791,Phycocyanin
570.4528344,0.45181002,Phycocyanin
572.0547483,0.510311244,Phycocyanin
573.6566265,0.510841466,Phycocyanin
575.2585046,0.511371689,Phycocyanin
576.8603827,0.511901911,Phycocyanin
578.4624755,0.860258142,Phycocyanin
580.0643536,0.860788364,Phycocyanin
581.6662318,0.861318587,Phycocyanin
583.268253,1.093732815,Phycocyanin
584.8701848,1.181219539,Phycocyanin
586.4719377,0.978851257,Phycocyanin
588.0739589,1.211265485,Phycocyanin
589.6761232,1.675563718,Phycocyanin
591.2787346,2.864499468,Phycocyanin
592.8814176,4.16937722,Phycocyanin
594.483868,5.097443464,Phycocyanin
596.0861754,5.793625702,Phycocyanin
597.6883039,6.199952934,Phycocyanin
599.2905576,6.80917867,Phycocyanin
600.89333,8.258983926,Phycocyanin
602.4962633,9.969658687,Phycocyanin
604.0993934,11.99917396,Phycocyanin
605.7024698,13.94173272,Phycocyanin
607.0385307,15.82623212,Phycocyanin
608.1076567,17.78310689,Phycocyanin
609.1768363,19.82693817,Phycocyanin
610.1125171,21.85623251,Phycocyanin
610.9146008,23.71156967,Phycocyanin
611.8503782,25.89738571,Phycocyanin
612.786034,27.88610036,Phycocyanin
613.5883323,30.08926352,Phycocyanin
614.3907021,32.40836868,Phycocyanin
615.193215,34.95935785,Phycocyanin
616.1292803,37.61184046,Phycocyanin
