"channel","Chlorophyll","Phycocyanin","Phycoerythrin"
"Green-B",0.000405699706496995,0.00187689283906629,0.00211856779076506
"NIR-B",0.27955269441823,0.0135814555192079,0
"NIR-R",0.196942354565376,0.108559655275575,0
"Red-B",1,0.0807948860791864,0.00717948678077388
"Red-R",0.368803224029136,0.445298918654432,0.00117150899119839
"Yellow-B",0.0062262230807743,0.0035606001983156,0.0469515066745421
